Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
Q7TQA8	TR136_MOUSE	Taste receptor type 2 member 136 (T2R136) (Taste receptor type 2 member 36) (T2R36) (mT2r52)	Tas2r136 T2r52 Tas2r36	Mus musculus (Mouse)	305						10090.ENSMUSP00000070791;		MISCELLANEOUS: Several bitter taste receptors are expressed in a single taste receptor cell.
Q7TQB9	TR143_MOUSE	Taste receptor type 2 member 143 (T2R143) (Taste receptor type 2 member 43) (T2R43) (mT2R36)	Tas2r143 T2r36 Tas2r43	Mus musculus (Mouse)	293						10090.ENSMUSP00000057910;		MISCELLANEOUS: Several bitter taste receptors are expressed in a single taste receptor cell.
Q2LA85	TRML2_MOUSE	Trem-like transcript 2 protein (TLT-2) (Triggering receptor expressed on myeloid cells-like protein 2)	Treml2 Tlt2	Mus musculus (Mouse)	329		236663;				10090.ENSMUSP00000128215;		
Q06806	TIE1_MOUSE	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	Tie1 Tie Tie-1	Mus musculus (Mouse)	1134				Q06806;	MINT-8020582;	10090.ENSMUSP00000037129;		
Q02858	TIE2_MOUSE	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (HYK) (STK1) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (mTIE2) (p140 TEK) (CD antigen CD202b)	Tek Hyk Tie-2 Tie2	Mus musculus (Mouse)	1122	Q60631; Q03160	204107;		Q02858;	MINT-4137861;	10090.ENSMUSP00000099862;		
Q9JLF7	TLR5_MOUSE	Toll-like receptor 5	Tlr5	Mus musculus (Mouse)	859	Q56086; A0A0H3NMJ6			Q9JLF7;		10090.ENSMUSP00000106625;		
O35235	TNF11_MOUSE	"Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]"	Tnfsf11 Opgl Rankl Trance	Mus musculus (Mouse)	316			DIP-59480N;	O35235;		10090.ENSMUSP00000022592;		
Q9CR75	TNR12_MOUSE	Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Fibroblast growth factor-regulated protein 2) (Tweak-receptor) (TweakR) (CD antigen CD266)	Tnfrsf12a Fgfrp2 Fn14	Mus musculus (Mouse)	129		205159;				10090.ENSMUSP00000024698;		
Q9Z0W1	TNR16_MOUSE	Tumor necrosis factor receptor superfamily member 16 (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (CD antigen CD271)	Ngfr Tnfrsf16	Mus musculus (Mouse)	417	Q9EPR5			Q9Z0W1;	MINT-243918;	10090.ENSMUSP00000000122;		
Q7M721	TR120_MOUSE	Taste receptor type 2 member 120 (T2R120) (mT2R47)	Tas2r120 T2r47	Mus musculus (Mouse)	295						10090.ENSMUSP00000071626;		MISCELLANEOUS: Several bitter taste receptors are expressed in a single taste receptor cell. {ECO:0000305}.
Q99NH8	TREM2_MOUSE	Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)	Trem2 Trem2a Trem2b Trem2c	Mus musculus (Mouse)	227			DIP-59896N;			10090.ENSMUSP00000024791;		
Q9WUL5	PD1L2_MOUSE	Programmed cell death 1 ligand 2 (PD-1 ligand 2) (PD-L2) (PDCD1 ligand 2) (Programmed death ligand 2) (Butyrophilin B7-DC) (B7-DC) (CD antigen CD273)	Pdcd1lg2 B7dc Btdc Cd273 Pdl2	Mus musculus (Mouse)	247		208388;	DIP-46166N;			10090.ENSMUSP00000108195;		
P35375	PE2R1_MOUSE	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	Ptger1 Ptgerep1	Mus musculus (Mouse)	405		202454;				10090.ENSMUSP00000019608;		
Q6TCG8	PAQR3_MOUSE	Progestin and adipoQ receptor family member 3 (Progestin and adipoQ receptor family member III) (Raf kinase trapping to Golgi) (RKTG)	Paqr3	Mus musculus (Mouse)	311						10090.ENSMUSP00000069324;		
P30557	PE2R3_MOUSE	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (Prostanoid EP3 receptor)	Ptger3 Ptgerep3	Mus musculus (Mouse)	365						10090.ENSMUSP00000043302;		
Q62053	PE2R2_MOUSE	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)	Ptger2 Ptgerep2	Mus musculus (Mouse)	362						10090.ENSMUSP00000038483;		
P43117	PF2R_MOUSE	Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)	Ptgfr	Mus musculus (Mouse)	366						10090.ENSMUSP00000029670;		
P26618	PGFRA_MOUSE	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (Platelet-derived growth factor alpha receptor) (CD antigen CD140a)	Pdgfra	Mus musculus (Mouse)	1089		202088;		P26618;	MINT-4107325;	10090.ENSMUSP00000000476;		
O55022	PGRC1_MOUSE	Membrane-associated progesterone receptor component 1	Pgrmc1 Pgrmc	Mus musculus (Mouse)	195				O55022;	MINT-4996230;	10090.ENSMUSP00000073061;		
P43252	PI2R_MOUSE	Prostacyclin receptor (Prostaglandin I2 receptor) (PGI receptor) (PGI2 receptor) (Prostanoid IP receptor)	Ptgir	Mus musculus (Mouse)	415		202460;				10090.ENSMUSP00000122080;		
Q6IYF8	OXGR1_MOUSE	2-oxoglutarate receptor 1 (Alpha-ketoglutarate receptor 1) (G-protein coupled receptor 99)	Oxgr1 Gpr99	Mus musculus (Mouse)	337						10090.ENSMUSP00000055137;		
P97926	OXYR_MOUSE	Oxytocin receptor (OT-R)	Oxtr	Mus musculus (Mouse)	388						10090.ENSMUSP00000051132;		
Q3UR32	P2RX3_MOUSE	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2rx3	Mus musculus (Mouse)	397						10090.ENSMUSP00000028465;		
Q9JJX6	P2RX4_MOUSE	P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor)	P2rx4 P2x4	Mus musculus (Mouse)	388						10090.ENSMUSP00000031429;		
Q8BFU7	P2Y10_MOUSE	Putative P2Y purinoceptor 10 (P2Y10)	P2ry10	Mus musculus (Mouse)	328						10090.ENSMUSP00000061296;		
Q80UU9	PGRC2_MOUSE	Membrane-associated progesterone receptor component 2	Pgrmc2	Mus musculus (Mouse)	217		214264;		Q80UU9;	MINT-4997589;	10090.ENSMUSP00000056643;		
Q2YFS3	PILRA_MOUSE	Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha)	Pilra	Mus musculus (Mouse)	302				Q2YFS3;		10090.ENSMUSP00000050313;		
Q9JJE4	PAQR4_MOUSE	Progestin and adipoQ receptor family member 4 (Progestin and adipoQ receptor family member IV)	Paqr4 MNCb-0914	Mus musculus (Mouse)	273						10090.ENSMUSP00000024702;		
Q6TCG2	PAQR9_MOUSE	Progestin and adipoQ receptor family member 9 (Progestin and adipoQ receptor family member IX)	Paqr9	Mus musculus (Mouse)	375						10090.ENSMUSP00000078547;		
Q9EP73	PD1L1_MOUSE	Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (B7 homolog 1) (B7-H1) (CD antigen CD274)	Cd274 B7h1 Pdcd1l1 Pdcd1lg1 Pdl1	Mus musculus (Mouse)	290	Q00609		DIP-46167N;	Q9EP73;		10090.ENSMUSP00000016640;		
Q9Z2J6	PD2R2_MOUSE	"Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294, Gpr44)"	Ptgdr2 Crth2	Mus musculus (Mouse)	382						10090.ENSMUSP00000036159;		
Q9CPV9	P2Y12_MOUSE	P2Y purinoceptor 12 (P2Y12)	P2ry12	Mus musculus (Mouse)	347						10090.ENSMUSP00000051353;		
Q9ESG6	P2Y14_MOUSE	P2Y purinoceptor 14 (P2Y14) (G-protein coupled receptor 105) (UDP-glucose receptor)	P2ry14 Gpr105	Mus musculus (Mouse)	338						10090.ENSMUSP00000066669;		
Q9CQY7	PAQRB_MOUSE	Monocyte to macrophage differentiation factor (Progestin and adipoQ receptor family member XI)	Mmd Paqr11	Mus musculus (Mouse)	238						10090.ENSMUSP00000004050;		
O08675	PAR3_MOUSE	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2rl2 Par3	Mus musculus (Mouse)	369			DIP-41474N;		MINT-261941;	10090.ENSMUSP00000022182;		
P70263	PD2R_MOUSE	Prostaglandin D2 receptor (PGD receptor) (PGD2 receptor) (Prostanoid DP receptor)	Ptgdr	Mus musculus (Mouse)	357				P70263;		10090.ENSMUSP00000093653;		
P32240	PE2R4_MOUSE	Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor)	Ptger4 Ptgerep4	Mus musculus (Mouse)	513						10090.ENSMUSP00000048736;	CAUTION: Was originally designated as the EP2 subtype. {ECO:0000305}.	
Q8K458	PKR2_MOUSE	Prokineticin receptor 2 (PK-R2) (G-protein coupled receptor 73-like 1)	Prokr2 Gpr73l1 Pkr2	Mus musculus (Mouse)	381						10090.ENSMUSP00000056659;		
Q8CJH3	PLXB1_MOUSE	Plexin-B1	Plxnb1 Kiaa0407	Mus musculus (Mouse)	2119	Q68FM7; Q8R4H2			Q8CJH3;	MINT-1791147;	10090.ENSMUSP00000071966;		
Q9QY40	PLXB3_MOUSE	Plexin-B3 (Plexin-6)	Plxnb3 Kiaa1206 Plxn6	Mus musculus (Mouse)	1902	Q61553			Q9QY40;	MINT-1791320;	10090.ENSMUSP00000002079;		
P70208	PLXA3_MOUSE	Plexin-A3	Plxna3	Mus musculus (Mouse)	1872			DIP-48959N;			10090.ENSMUSP00000004326;		
Q80UG2	PLXA4_MOUSE	Plexin-A4	Plxna4 Kiaa1550	Mus musculus (Mouse)	1893	O35464			Q80UG2;	MINT-7996686;	10090.ENSMUSP00000110748;		
B2RXS4	PLXB2_MOUSE	Plexin-B2	Plxnb2	Mus musculus (Mouse)	1842	Q68FM7	228283;		B2RXS4;	MINT-1853052;	10090.ENSMUSP00000051731;		
Q6VMN6	PRLHR_MOUSE	Prolactin-releasing peptide receptor (PrRP receptor) (PrRPR) (G-protein coupled receptor 10)	Prlhr Gm339 Gpr10	Mus musculus (Mouse)	370						10090.ENSMUSP00000063114;		
Q62028	PLA2R_MOUSE	Secretory phospholipase A2 receptor (PLA2-R) (PLA2R) (180 kDa secretory phospholipase A2 receptor) (M-type receptor) [Cleaved into: Soluble secretory phospholipase A2 receptor (Soluble PLA2-R) (Soluble PLA2R)]	Pla2r1 Pla2g1br	Mus musculus (Mouse)	1487				Q62028;	MINT-4109893;	10090.ENSMUSP00000065205;		
Q9QZC2	PLXC1_MOUSE	Plexin-C1 (Virus-encoded semaphorin protein receptor) (CD antigen CD232)	Plxnc1 Vespr	Mus musculus (Mouse)	1574						10090.ENSMUSP00000096939;		
Q9JKL1	PKR1_MOUSE	Prokineticin receptor 1 (PK-R1) (G-protein coupled receptor 73)	Prokr1 Gpr73 Pkr1	Mus musculus (Mouse)	393						10090.ENSMUSP00000059034;		
Q3UH93	PLXD1_MOUSE	Plexin-D1	Plxnd1	Mus musculus (Mouse)	1925		212439;				10090.ENSMUSP00000015511;		
Q91Z22	PORIM_MOUSE	Porimin (Transmembrane protein 123)	Tmem123	Mus musculus (Mouse)	195						10090.ENSMUSP00000051966;		
P80560	PTPR2_MOUSE	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.48) (PTP IA-2beta) (Protein tyrosine phosphatase-NP) (PTP-NP)	Ptprn2	Mus musculus (Mouse)	1001	Q60673			P80560;	MINT-8310377;	10090.ENSMUSP00000064046;		
A2A8L5	PTPRF_MOUSE	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	Ptprf Lar	Mus musculus (Mouse)	1898		202497;		A2A8L5;		10090.ENSMUSP00000039368;		
Q60673	PTPRN_MOUSE	Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N) (PTP IA-2)	Ptprn Ptp35	Mus musculus (Mouse)	979	P18052; P80560			Q60673;	MINT-4109182;	10090.ENSMUSP00000027404;	CAUTION: Does not possess catalytic activity due to replacement of highly conserved residues in tyrosine-protein phosphatase domain. {ECO:0000305|PubMed:8878556}.	
P41593	PTH1R_MOUSE	Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)	Pth1r Pthr Pthr1	Mus musculus (Mouse)	591				P41593;		10090.ENSMUSP00000006005;		
E9Q612	PTPRO_MOUSE	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	Ptpro GLEPP1 Ptpn15 PTPU2	Mus musculus (Mouse)	1226	P27467			E9Q612;		10090.ENSMUSP00000076364;		
B1AUH1	PTPRU_MOUSE	Receptor-type tyrosine-protein phosphatase U (R-PTP-U) (EC 3.1.3.48) (Ftp-1) (Pancreatic carcinoma phosphatase 2) (PCP-2) (Protein-tyrosine phosphatase-lamda) (PTP-lambda) (PTPlambda) (Receptor-type protein-tyrosine phosphatase psi) (R-PTP-psi)	Ptpru Pcp2 Ptpf	Mus musculus (Mouse)	1446						10090.ENSMUSP00000030741;		
Q64487	PTPRD_MOUSE	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1912	P59823			Q64487;	MINT-129768;			
P35822	PTPRK_MOUSE	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	Ptprk Ptpk	Mus musculus (Mouse)	1457		202500;		P35822;	MINT-4109163;	10090.ENSMUSP00000126279;		
P28828	PTPRM_MOUSE	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	Ptprm Kiaa4044	Mus musculus (Mouse)	1452				P28828;	MINT-129906;	10090.ENSMUSP00000045603;		
B0V2N1	PTPRS_MOUSE	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (PTPNU-3) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Ptprs	Mus musculus (Mouse)	1907				B0V2N1;	MINT-129725;	10090.ENSMUSP00000064048;		
Q08501	PRLR_MOUSE	Prolactin receptor (PRL-R)	Prlr	Mus musculus (Mouse)	608	Q99490-2	202385;		Q08501;	MINT-4596793;	10090.ENSMUSP00000122219;		
Q61038	PSYR_MOUSE	Psychosine receptor (G-protein coupled receptor 65) (T-cell death-associated gene 8 protein)	Gpr65 Gpcr25 Tdag8	Mus musculus (Mouse)	337						10090.ENSMUSP00000074581;		
Q91V95	PTH2R_MOUSE	Parathyroid hormone 2 receptor (PTH2 receptor)	Pth2r Pthr2	Mus musculus (Mouse)	546						10090.ENSMUSP00000027083;		
Q62132	PTPRR_MOUSE	Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Phosphotyrosine phosphatase 13) (Protein-tyrosine-phosphatase SL)	Ptprr Ptp13	Mus musculus (Mouse)	656	P63085; P27361			Q62132;	MINT-99987;	10090.ENSMUSP00000064392;		
Q99M80	PTPRT_MOUSE	Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (RPTPmam4) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho) (mRPTPrho)	Ptprt	Mus musculus (Mouse)	1454						10090.ENSMUSP00000105071;		
P83861	QRFPR_MOUSE	Pyroglutamylated RFamide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155)	Qrfpr Gpr103	Mus musculus (Mouse)	433						10090.ENSMUSP00000088768;		
Q62035	PTAFR_MOUSE	Platelet-activating factor receptor (PAF-R) (PAFr)	Ptafr	Mus musculus (Mouse)	341						10090.ENSMUSP00000070925;		
O35595	PTC2_MOUSE	Protein patched homolog 2 (PTC2)	Ptch2	Mus musculus (Mouse)	1182						10090.ENSMUSP00000030443;		
Q9WUP1	RAMP3_MOUSE	Receptor activity-modifying protein 3	Ramp3	Mus musculus (Mouse)	147						10090.ENSMUSP00000047518;		
P0C5E4	PTPRQ_MOUSE	Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.-) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q) (EC 3.1.3.48)	Ptprq	Mus musculus (Mouse)	2300		231884;				10090.ENSMUSP00000058572;		
Q8K0S5	R4RL1_MOUSE	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	Rtn4rl1 Ngrl2	Mus musculus (Mouse)	445						10090.ENSMUSP00000099572;		
Q8BKG3	PTK7_MOUSE	Inactive tyrosine-protein kinase 7 (Protein chuzhoi) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)	Ptk7	Mus musculus (Mouse)	1062				Q8BKG3;	MINT-4111157;	10090.ENSMUSP00000043703;		
P0C6B2	PTCRA_MOUSE	Pre T-cell antigen receptor alpha (pT-alpha) (pTa) (gp33) (pT-alpha-TCR)	Ptcra	Mus musculus (Mouse)	199								
Q8BHL4	RAI3_MOUSE	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Retinoic acid-induced gene 1 protein) (RAIG-1)	Gprc5a Rai3 Raig1	Mus musculus (Mouse)	356				Q8BHL4;	MINT-4131759;	10090.ENSMUSP00000061062;		
Q9WTJ5	RAMP1_MOUSE	Receptor activity-modifying protein 1	Ramp1	Mus musculus (Mouse)	148						10090.ENSMUSP00000095253;		
Q9WUP0	RAMP2_MOUSE	Receptor activity-modifying protein 2	Ramp2	Mus musculus (Mouse)	189				Q9WUP0;	MINT-4131787;	10090.ENSMUSP00000122072;		
Q9Z2B3	RGR_MOUSE	RPE-retinal G protein-coupled receptor	Rgr	Mus musculus (Mouse)	291						10090.ENSMUSP00000022338;		
Q9CYN9	RENR_MOUSE	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor)	Atp6ap2 Atp6ip2	Mus musculus (Mouse)	350		214094;		Q9CYN9;	MINT-4125981;	10090.ENSMUSP00000033313;		
Q7TQP4	RL3R2_MOUSE	Relaxin-3 receptor 2 (RLN3 receptor 2) (G-protein coupled receptor 100) (Insulin-like peptide INSL5 receptor) (Relaxin family peptide receptor 4)	Rxfp4 Gpr100 Rln3r2	Mus musculus (Mouse)	414						10090.ENSMUSP00000058732;		
Q7TMV1	RN139_MOUSE	E3 ubiquitin-protein ligase RNF139 (EC 6.3.2.-) (RING finger protein 139) (Translocation in renal carcinoma on chromosome 8 protein)	Rnf139	Mus musculus (Mouse)	668						10090.ENSMUSP00000046467;		
Q9Z139	ROR1_MOUSE	"Inactive tyrosine-protein kinase transmembrane receptor ROR1 (mROR1) (Neurotrophic tyrosine kinase, receptor-related 1)"	Ror1 Ntrkr1	Mus musculus (Mouse)	937		205021;				10090.ENSMUSP00000048171;		
O89026	ROBO1_MOUSE	Roundabout homolog 1	Robo1 Dutt1	Mus musculus (Mouse)	1612		202949;				10090.ENSMUSP00000023600;		
Q9Z2I4	ROBO3_MOUSE	Roundabout homolog 3 (Retinoblastoma-inhibiting gene 1 protein) (Rig-1)	Robo3 Rbig1	Mus musculus (Mouse)	1366						10090.ENSMUSP00000110690;		MISCELLANEOUS: ROBO3 null deficient mice lack embryonal spinal chord commissural axons crossing the floor plate.
Q9Z138	ROR2_MOUSE	"Tyrosine-protein kinase transmembrane receptor ROR2 (mROR2) (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)"	Ror2	Mus musculus (Mouse)	944						10090.ENSMUSP00000021918;		
Q62190	RON_MOUSE	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (Stem cell-derived tyrosine kinase) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	Mst1r Ron Stk	Mus musculus (Mouse)	1378				Q62190;		10090.ENSMUSP00000035203;		MISCELLANEOUS: Interaction with FSFFV envelope-like membrane glycoprotein gp55 results in constitutive tyrosine phosphorylation and activation of isoform sf-Stk.
Q78DX7	ROS1_MOUSE	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	Ros1 Ros Ros-1	Mus musculus (Mouse)	2340					MINT-192643;	10090.ENSMUSP00000020045;		
E9PZQ0	RYR1_MOUSE	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	Ryr1	Mus musculus (Mouse)	5035	O55108; P49070		DIP-29705N;	E9PZQ0;		10090.ENSMUSP00000137123;		"MISCELLANEOUS: Channel activity is modulated by the alkaloid ryanodine that binds to the open Ca-release channel with high affinity. At low concentrations, ryanodine maintains the channel in an open conformation. High ryanodine concentrations inhibit channel activity. Channel activity is regulated by calmodulin (CALM). The calcium release is activated by increased cytoplasmic calcium levels, by nitric oxyde (NO), caffeine and ATP. Channel activity is inhibited by magnesium ions, possibly by competition for calcium binding sites."
A2AGL3	RYR3_MOUSE	Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)	Ryr3	Mus musculus (Mouse)	4863						10090.ENSMUSP00000089426;		"MISCELLANEOUS: Channel activity is modulated by the alkaloid ryanodine that binds to the open calcium-release channel with high affinity. At low concentrations, ryanodine maintains the channel in an open conformation. High ryanodine concentrations inhibit channel activity. Channel activity is regulated by calmodulin (CALM). The calcium release is activated by elevated cytoplasmic calcium levels in the micromolar range, by caffeine and adenine nucleotides, such as AMP and ATP. Inhibited by Mg(2+) and ruthenium red."
O08530	S1PR1_MOUSE	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Lysophospholipid receptor B1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1pr1 Edg1 Lpb1	Mus musculus (Mouse)	382		199373;	DIP-32248N;	O08530;		10090.ENSMUSP00000050897;		
Q6R6I7	RXFP1_MOUSE	Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1)	Rxfp1 Gm1018 Lgr7	Mus musculus (Mouse)	758						10090.ENSMUSP00000077611;		
Q01887	RYK_MOUSE	Tyrosine-protein kinase RYK (EC 2.7.10.1) (Kinase VIK) (Met-related kinase) (NYK-R)	Ryk Mrk	Mus musculus (Mouse)	594		203044;	DIP-61011N;			10090.ENSMUSP00000135858;		
Q80UP8	S20A2_MOUSE	Sodium-dependent phosphate transporter 2 (Phosphate transporter 2) (PiT-2) (Solute carrier family 20 member 2) (Type III sodium-dependent phosphate transporter)	Slc20a2 Pit2	Mus musculus (Mouse)	656				Q80UP8;	MINT-4129248;	10090.ENSMUSP00000065935;		
Q5FWI2	SCTR_MOUSE	Secretin receptor (SCT-R)	Sctr	Mus musculus (Mouse)	447						10090.ENSMUSP00000072660;		
P52592	S1PR2_MOUSE	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Lysophospholipid receptor B2) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1pr2 Edg5 Gpcr13 Lpb2	Mus musculus (Mouse)	352			DIP-60681N;			10090.ENSMUSP00000053394;		
Q91X56	S1PR5_MOUSE	Sphingosine 1-phosphate receptor 5 (S1P receptor 5) (S1P5) (Endothelial differentiation G-protein-coupled receptor 8) (Lysophospholipid receptor B4) (Sphingosine 1-phosphate receptor Edg-8) (S1P receptor Edg-8)	S1pr5 Edg8 Lpb4	Mus musculus (Mouse)	400						10090.ENSMUSP00000113843;		
Q61609	S20A1_MOUSE	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)	Slc20a1 Glvr1 Pit1	Mus musculus (Mouse)	681		203294;				10090.ENSMUSP00000028880;		
Q91ZZ5	RXFP2_MOUSE	Relaxin receptor 2 (G-protein coupled receptor 106) (G-protein coupled receptor affecting testicular descent) (Leucine-rich repeat-containing G-protein coupled receptor 8) (Relaxin family peptide receptor 2)	Rxfp2 Gpr106 Great Lgr8	Mus musculus (Mouse)	737						10090.ENSMUSP00000067897;	"CAUTION: By homology with the human sequence, it is uncertain whether Met-1 is the initiator. {ECO:0000305}."	
Q9Z0U9	S1PR3_MOUSE	Sphingosine 1-phosphate receptor 3 (S1P receptor 3) (S1P3) (Endothelial differentiation G-protein coupled receptor 3) (Lysophospholipid receptor B3) (Sphingosine 1-phosphate receptor Edg-3) (S1P receptor Edg-3)	S1pr3 Edg3 Lpb3	Mus musculus (Mouse)	378						10090.ENSMUSP00000085293;		
Q9D8F3	S52A2_MOUSE	"Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 2 homolog) (PERV-A receptor 2 homolog) (Protein GPR172B) (Riboflavin transporter 1) (mRFT1)"	Slc52a2 Gpr172b Rft1	Mus musculus (Mouse)	450				Q9D8F3;		10090.ENSMUSP00000023220;		
Q8BHK6	SLAF7_MOUSE	SLAM family member 7 (Leukocyte cell-surface antigen) (Novel Ly9) (CD antigen CD319)	Slamf7	Mus musculus (Mouse)	333	P06241; O35324			Q8BHK6;		10090.ENSMUSP00000106907;		MISCELLANEOUS: CRACC:CRACC interaction between NK cells and resident Kupffer cells contribute to Poly I:C/D-GalN-induced fulminant hepatitis. {ECO:0000269|PubMed:24098802}.
Q9D9E0	S22AH_MOUSE	Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor)	Slc22a17 Boct	Mus musculus (Mouse)	401						10090.ENSMUSP00000049676;		
Q61009	SCRB1_MOUSE	Scavenger receptor class B member 1 (SRB1) (SR-BI)	Scarb1 Srb1	Mus musculus (Mouse)	509					MINT-242627;	10090.ENSMUSP00000083242;		
